KEY,percepcion,ideologia
15_110,Que haya un cambio de partido en el gobierno,PAN - Partido Acción Nacional
15_58,Que siga gobernando MORENA,MORENA
21_115,Que haya un cambio de partido en el gobierno,MORENA
28_9,Que haya un cambio de partido en el gobierno,Ninguno
21_115,Que siga gobernando MORENA,PVEM – Partido Verde Ecologista de México
14_99,Que siga gobernando MORENA,MORENA
15_34,Que haya un cambio de partido en el gobierno,PVEM – Partido Verde Ecologista de México
5_18,Que siga gobernando MORENA,MORENA
12_57,Que haya un cambio de partido en el gobierno,MORENA
23_1,Que siga gobernando MORENA,Ninguno
15_58,Que haya un cambio de partido en el gobierno,MORENA
20_526,Que siga gobernando MORENA,MORENA
8_37,Que siga gobernando MORENA,MORENA
27_2,Que siga gobernando MORENA,Ninguno
27_2,Que haya un cambio de partido en el gobierno,MORENA
27_2,Que siga gobernando MORENA,MC - Movimiento Ciudadano
27_2,Que siga gobernando MORENA,MORENA
27_2,Que haya un cambio de partido en el gobierno,PAN - Partido Acción Nacional
27_2,Que siga gobernando MORENA,MORENA
27_2,Que siga gobernando MORENA,MORENA
28_9,Que siga gobernando MORENA,MORENA
21_115,Que haya un cambio de partido en el gobierno,MORENA
21_115,Que siga gobernando MORENA,MORENA
14_41,Que siga gobernando MORENA,MORENA
14_99,Que siga gobernando MORENA,MORENA
20_526,Que siga gobernando MORENA,MORENA
15_110,Que siga gobernando MORENA,MORENA
8_37,Que siga gobernando MORENA,MORENA
1_1,Que haya un cambio de partido en el gobierno,PAN - Partido Acción Nacional
14_99,Que haya un cambio de partido en el gobierno,PT- Partido del Trabajo
21_115,Que haya un cambio de partido en el gobierno,Ninguno
12_57,Que siga gobernando MORENA,MORENA
5_18,Que siga gobernando MORENA,MORENA
14_41,Que haya un cambio de partido en el gobierno,PAN - Partido Acción Nacional
31_101,Que siga gobernando MORENA,MORENA
31_101,Que haya un cambio de partido en el gobierno,Ninguno
23_1,Que siga gobernando MORENA,MORENA
30_192,Que siga gobernando MORENA,MORENA
1_1,Que siga gobernando MORENA,PVEM – Partido Verde Ecologista de México
12_57,Que siga gobernando MORENA,MORENA
12_57,No sabe / No respondió,PVEM – Partido Verde Ecologista de México
12_57,Que siga gobernando MORENA,PT- Partido del Trabajo
12_57,No sabe / No respondió,Ninguno
12_57,Que haya un cambio de partido en el gobierno,MORENA
5_18,Que haya un cambio de partido en el gobierno,PAN - Partido Acción Nacional
14_41,Que siga gobernando MORENA,MORENA
8_37,Que siga gobernando MORENA,MORENA
19_47,Que siga gobernando MORENA,PT- Partido del Trabajo
30_192,Que siga gobernando MORENA,MORENA
15_110,Que siga gobernando MORENA,MORENA
31_8,Que siga gobernando MORENA,Ninguno
21_115,Que siga gobernando MORENA,PAN - Partido Acción Nacional
21_115,Que siga gobernando MORENA,MORENA
5_25,Que siga gobernando MORENA,MORENA
14_41,Que haya un cambio de partido en el gobierno,PRD - Partido de la Revolución Democrática
23_1,Que siga gobernando MORENA,MORENA
22_10,Que haya un cambio de partido en el gobierno,PAN - Partido Acción Nacional
22_10,Que siga gobernando MORENA,Ninguno
1_1,Que haya un cambio de partido en el gobierno,PAN - Partido Acción Nacional
19_47,Que siga gobernando MORENA,MORENA
15_110,Que siga gobernando MORENA,MORENA
31_8,Que siga gobernando MORENA,PVEM – Partido Verde Ecologista de México
8_37,Que siga gobernando MORENA,Ninguno
14_41,Que siga gobernando MORENA,MORENA
21_115,Que siga gobernando MORENA,MORENA
23_1,Que siga gobernando MORENA,Ninguno
22_10,Que siga gobernando MORENA,PAN - Partido Acción Nacional
1_1,Que haya un cambio de partido en el gobierno,PAN - Partido Acción Nacional
5_25,Que haya un cambio de partido en el gobierno,Ninguno
22_10,Que haya un cambio de partido en el gobierno,PAN - Partido Acción Nacional
8_37,Que haya un cambio de partido en el gobierno,PAN - Partido Acción Nacional
25_6,Que haya un cambio de partido en el gobierno,MORENA
22_10,Que siga gobernando MORENA,Ninguno
19_47,Que haya un cambio de partido en el gobierno,PAN - Partido Acción Nacional
21_115,Que haya un cambio de partido en el gobierno,Ninguno
10_5,Que siga gobernando MORENA,MC - Movimiento Ciudadano
15_34,Que siga gobernando MORENA,MORENA
1_1,Que siga gobernando MORENA,MORENA
31_8,Que siga gobernando MORENA,MC - Movimiento Ciudadano
15_110,Que siga gobernando MORENA,MORENA
25_6,Que siga gobernando MORENA,MORENA
23_1,Que siga gobernando MORENA,MORENA
22_10,Que siga gobernando MORENA,PAN - Partido Acción Nacional
5_25,Que haya un cambio de partido en el gobierno,PRI - Partido Revolucionario Institucional
22_10,Que siga gobernando MORENA,MORENA
9_5,Que haya un cambio de partido en el gobierno,MORENA
30_192,Que siga gobernando MORENA,PAN - Partido Acción Nacional
21_115,Que siga gobernando MORENA,PVEM – Partido Verde Ecologista de México
9_5,Que siga gobernando MORENA,MORENA
9_5,Que haya un cambio de partido en el gobierno,MORENA
22_10,Que haya un cambio de partido en el gobierno,PRI - Partido Revolucionario Institucional
15_34,Que haya un cambio de partido en el gobierno,MORENA
19_47,Que siga gobernando MORENA,MC - Movimiento Ciudadano
25_6,Que siga gobernando MORENA,MORENA
15_110,Que haya un cambio de partido en el gobierno,MORENA
25_6,Que haya un cambio de partido en el gobierno,MORENA
30_192,Que haya un cambio de partido en el gobierno,MORENA
10_5,Que haya un cambio de partido en el gobierno,PAN - Partido Acción Nacional
12_44,Que siga gobernando MORENA,MORENA
14_41,Que haya un cambio de partido en el gobierno,MORENA
9_8,Que siga gobernando MORENA,MORENA
25_6,Que siga gobernando MORENA,MORENA
10_5,Que haya un cambio de partido en el gobierno,PAN - Partido Acción Nacional
19_47,Que haya un cambio de partido en el gobierno,PAN - Partido Acción Nacional
15_34,Que haya un cambio de partido en el gobierno,PAN - Partido Acción Nacional
7_65,Que siga gobernando MORENA,MORENA
9_5,Que haya un cambio de partido en el gobierno,PRI - Partido Revolucionario Institucional
23_1,Que siga gobernando MORENA,PVEM – Partido Verde Ecologista de México
1_1,No sabe / No respondió,PAN - Partido Acción Nacional
9_5,Que siga gobernando MORENA,MORENA
30_192,Que siga gobernando MORENA,MORENA
12_44,Que siga gobernando MORENA,PRI - Partido Revolucionario Institucional
25_6,Que siga gobernando MORENA,PAN - Partido Acción Nacional
15_34,Que haya un cambio de partido en el gobierno,MORENA
1_1,Que haya un cambio de partido en el gobierno,Ninguno
25_6,Que siga gobernando MORENA,MORENA
9_5,Que haya un cambio de partido en el gobierno,MORENA
30_192,Que haya un cambio de partido en el gobierno,PT- Partido del Trabajo
27_2,Que siga gobernando MORENA,MORENA
27_2,Que siga gobernando MORENA,MORENA
27_2,Que siga gobernando MORENA,PT- Partido del Trabajo
22_10,Que haya un cambio de partido en el gobierno,PAN - Partido Acción Nacional
22_10,Que siga gobernando MORENA,Ninguno
5_25,Que haya un cambio de partido en el gobierno,PRI - Partido Revolucionario Institucional
10_5,Que siga gobernando MORENA,Ninguno
7_65,Que siga gobernando MORENA,MORENA
19_47,Que haya un cambio de partido en el gobierno,MC - Movimiento Ciudadano
7_65,Que siga gobernando MORENA,MORENA
25_6,Que siga gobernando MORENA,MORENA
15_34,Que siga gobernando MORENA,MORENA
9_14,Que siga gobernando MORENA,MORENA
12_44,Que siga gobernando MORENA,Ninguno
9_5,Que haya un cambio de partido en el gobierno,MORENA
9_14,Que haya un cambio de partido en el gobierno,PAN - Partido Acción Nacional
1_1,Que siga gobernando MORENA,MORENA
12_44,Que siga gobernando MORENA,MORENA
12_44,No sabe / No respondió,Ninguno
12_44,Que siga gobernando MORENA,MORENA
12_44,No sabe / No respondió,MC - Movimiento Ciudadano
12_44,Que siga gobernando MORENA,PRI - Partido Revolucionario Institucional
12_44,Que siga gobernando MORENA,MORENA
9_6,Que siga gobernando MORENA,MORENA
10_5,Que siga gobernando MORENA,PAN - Partido Acción Nacional
19_47,Que siga gobernando MORENA,MORENA
25_6,Que siga gobernando MORENA,MORENA
7_65,Que siga gobernando MORENA,MORENA
7_65,Que siga gobernando MORENA,MORENA
7_65,Que siga gobernando MORENA,MORENA
1_1,Que haya un cambio de partido en el gobierno,PAN - Partido Acción Nacional
12_44,Que haya un cambio de partido en el gobierno,MORENA
30_192,Que haya un cambio de partido en el gobierno,PAN - Partido Acción Nacional
15_34,Que siga gobernando MORENA,Ninguno
9_6,Que siga gobernando MORENA,MORENA
25_6,Que siga gobernando MORENA,MORENA
19_47,Que haya un cambio de partido en el gobierno,PAN - Partido Acción Nacional
7_102,Que haya un cambio de partido en el gobierno,MORENA
22_14,Que haya un cambio de partido en el gobierno,PAN - Partido Acción Nacional
30_192,Que siga gobernando MORENA,MORENA
9_14,Que haya un cambio de partido en el gobierno,PAN - Partido Acción Nacional
7_102,Que siga gobernando MORENA,Ninguno
22_14,No sabe / No respondió,MORENA
1_1,Que siga gobernando MORENA,PAN - Partido Acción Nacional
7_102,Que siga gobernando MORENA,MORENA
12_57,Que haya un cambio de partido en el gobierno,MORENA
14_102,Que siga gobernando MORENA,MORENA
12_44,Que siga gobernando MORENA,Ninguno
7_52,Que siga gobernando MORENA,MORENA
22_14,Que haya un cambio de partido en el gobierno,PAN - Partido Acción Nacional
19_47,Que haya un cambio de partido en el gobierno,PAN - Partido Acción Nacional
22_14,Que haya un cambio de partido en el gobierno,PVEM – Partido Verde Ecologista de México
9_8,Que haya un cambio de partido en el gobierno,PAN - Partido Acción Nacional
14_41,Que haya un cambio de partido en el gobierno,PT- Partido del Trabajo
7_52,Que haya un cambio de partido en el gobierno,MORENA
15_34,Que siga gobernando MORENA,Ninguno
15_65,No sabe / No respondió,MC - Movimiento Ciudadano
15_65,Que haya un cambio de partido en el gobierno,Ninguno
14_41,Que haya un cambio de partido en el gobierno,MORENA
19_47,Que haya un cambio de partido en el gobierno,PT- Partido del Trabajo
9_6,Que siga gobernando MORENA,MORENA
22_14,Que siga gobernando MORENA,MORENA
14_102,Que haya un cambio de partido en el gobierno,PRI - Partido Revolucionario Institucional
30_192,Que siga gobernando MORENA,MORENA
14_41,Que siga gobernando MORENA,Ninguno
7_52,Que siga gobernando MORENA,MORENA
15_34,Que haya un cambio de partido en el gobierno,PAN - Partido Acción Nacional
9_14,Que siga gobernando MORENA,MORENA
15_65,Que siga gobernando MORENA,MORENA
14_41,Que siga gobernando MORENA,MORENA
15_34,No sabe / No respondió,PAN - Partido Acción Nacional
14_102,Que siga gobernando MORENA,MORENA
22_14,Que haya un cambio de partido en el gobierno,PAN - Partido Acción Nacional
7_52,Que siga gobernando MORENA,MORENA
14_102,Que siga gobernando MORENA,PT- Partido del Trabajo
30_192,Que siga gobernando MORENA,MORENA
22_14,No sabe / No respondió,Ninguno
15_65,Que siga gobernando MORENA,MORENA
7_52,Que siga gobernando MORENA,MORENA
14_102,Que siga gobernando MORENA,PAN - Partido Acción Nacional
15_34,Que haya un cambio de partido en el gobierno,MORENA
14_102,Que siga gobernando MORENA,MORENA
14_102,Que haya un cambio de partido en el gobierno,MORENA
15_65,Que siga gobernando MORENA,MORENA
14_102,No sabe / No respondió,Ninguno
22_14,No sabe / No respondió,MC - Movimiento Ciudadano
14_102,Que siga gobernando MORENA,MORENA
15_65,Que siga gobernando MORENA,PT- Partido del Trabajo
31_8,Que haya un cambio de partido en el gobierno,MORENA
31_8,Que siga gobernando MORENA,MORENA
22_14,Que haya un cambio de partido en el gobierno,PRI - Partido Revolucionario Institucional
22_14,Que siga gobernando MORENA,MORENA
15_65,Que siga gobernando MORENA,MORENA
15_65,No sabe / No respondió,Ninguno
3_3,Que siga gobernando MORENA,MORENA
16_54,Que haya un cambio de partido en el gobierno,MORENA
3_3,Que siga gobernando MORENA,MORENA
15_65,Que siga gobernando MORENA,MORENA
2_1,Que siga gobernando MORENA,MORENA
2_1,No sabe / No respondió,MORENA
2_1,Que haya un cambio de partido en el gobierno,PAN - Partido Acción Nacional
2_1,Que siga gobernando MORENA,MORENA
2_3,Que haya un cambio de partido en el gobierno,Ninguno
2_3,Que haya un cambio de partido en el gobierno,PRI - Partido Revolucionario Institucional
2_3,Que haya un cambio de partido en el gobierno,PRI - Partido Revolucionario Institucional
2_3,Que haya un cambio de partido en el gobierno,Ninguno
2_1,Que siga gobernando MORENA,MORENA
2_1,Que siga gobernando MORENA,PVEM – Partido Verde Ecologista de México
2_3,Que siga gobernando MORENA,MORENA
2_3,Que haya un cambio de partido en el gobierno,PAN - Partido Acción Nacional
2_3,Que siga gobernando MORENA,MORENA
15_65,No sabe / No respondió,Ninguno
14_102,Que siga gobernando MORENA,PAN - Partido Acción Nacional
5_18,Que haya un cambio de partido en el gobierno,MORENA
5_18,Que siga gobernando MORENA,MORENA
5_18,Que siga gobernando MORENA,MORENA
5_18,Que haya un cambio de partido en el gobierno,PRI - Partido Revolucionario Institucional
15_107,Que siga gobernando MORENA,MORENA
15_107,Que siga gobernando MORENA,MORENA
15_107,Que haya un cambio de partido en el gobierno,PRI - Partido Revolucionario Institucional
15_107,Que siga gobernando MORENA,MORENA
15_107,Que haya un cambio de partido en el gobierno,Ninguno
15_107,Que haya un cambio de partido en el gobierno,PAN - Partido Acción Nacional
15_107,No sabe / No respondió,Ninguno
16_97,Que haya un cambio de partido en el gobierno,PRI - Partido Revolucionario Institucional
2_1,Que siga gobernando MORENA,MORENA
2_1,Que siga gobernando MORENA,Ninguno
2_1,Que siga gobernando MORENA,PVEM – Partido Verde Ecologista de México
2_3,Que siga gobernando MORENA,MORENA
2_3,Que haya un cambio de partido en el gobierno,Ninguno
2_1,Que siga gobernando MORENA,MORENA
16_97,No sabe / No respondió,MORENA
7_52,Que haya un cambio de partido en el gobierno,PAN - Partido Acción Nacional
16_97,Que haya un cambio de partido en el gobierno,MORENA
15_107,Que siga gobernando MORENA,PRI - Partido Revolucionario Institucional
7_52,Que haya un cambio de partido en el gobierno,MC - Movimiento Ciudadano
15_107,No sabe / No respondió,Ninguno
10_37,Que siga gobernando MORENA,MC - Movimiento Ciudadano
16_97,No sabe / No respondió,Ninguno
7_52,Que haya un cambio de partido en el gobierno,PAN - Partido Acción Nacional
30_82,Que siga gobernando MORENA,Ninguno
10_37,Que siga gobernando MORENA,MORENA
15_107,Que haya un cambio de partido en el gobierno,PRI - Partido Revolucionario Institucional
30_174,Que siga gobernando MORENA,Ninguno
7_52,Que siga gobernando MORENA,MORENA
16_97,Que siga gobernando MORENA,MORENA
7_52,Que siga gobernando MORENA,MORENA
7_67,Que haya un cambio de partido en el gobierno,Ninguno
7_67,No sabe / No respondió,Ninguno
15_60,Que haya un cambio de partido en el gobierno,Ninguno
30_82,Que haya un cambio de partido en el gobierno,PAN - Partido Acción Nacional
10_37,Que siga gobernando MORENA,MORENA
30_174,Que siga gobernando MORENA,MORENA
16_97,Que siga gobernando MORENA,MORENA
21_120,Que siga gobernando MORENA,MORENA
15_60,Que haya un cambio de partido en el gobierno,Ninguno
9_6,Que siga gobernando MORENA,MORENA
7_67,Que siga gobernando MORENA,MORENA
7_67,Que siga gobernando MORENA,MORENA
5_25,Que siga gobernando MORENA,PVEM – Partido Verde Ecologista de México
7_67,Que haya un cambio de partido en el gobierno,PRI - Partido Revolucionario Institucional
30_82,Que siga gobernando MORENA,Ninguno
15_60,Que siga gobernando MORENA,MORENA
30_174,Que haya un cambio de partido en el gobierno,MORENA
26_59,Que siga gobernando MORENA,MORENA
4_2,Que siga gobernando MORENA,MORENA
16_97,Que haya un cambio de partido en el gobierno,MORENA
7_67,Que haya un cambio de partido en el gobierno,PAN - Partido Acción Nacional
26_59,Que siga gobernando MORENA,MORENA
16_97,Que siga gobernando MORENA,Ninguno
9_6,Que haya un cambio de partido en el gobierno,MORENA
7_67,Que siga gobernando MORENA,MORENA
16_97,Que haya un cambio de partido en el gobierno,MORENA
9_6,Que siga gobernando MORENA,PVEM – Partido Verde Ecologista de México
30_82,No sabe / No respondió,PAN - Partido Acción Nacional
7_67,Que haya un cambio de partido en el gobierno,MORENA
30_174,Que siga gobernando MORENA,MORENA
10_37,Que haya un cambio de partido en el gobierno,MORENA
9_6,No sabe / No respondió,PVEM – Partido Verde Ecologista de México
16_97,Que haya un cambio de partido en el gobierno,MC - Movimiento Ciudadano
15_60,Que haya un cambio de partido en el gobierno,MORENA
30_46,Que haya un cambio de partido en el gobierno,MORENA
26_59,Que haya un cambio de partido en el gobierno,MORENA
30_82,Que haya un cambio de partido en el gobierno,PAN - Partido Acción Nacional
12_3,Que siga gobernando MORENA,MORENA
12_3,Que haya un cambio de partido en el gobierno,Ninguno
12_3,Que haya un cambio de partido en el gobierno,MORENA
20_415,Que siga gobernando MORENA,Ninguno
9_6,Que siga gobernando MORENA,MORENA
7_67,Que siga gobernando MORENA,MORENA
7_67,Que siga gobernando MORENA,MORENA
10_37,Que siga gobernando MORENA,MORENA
15_60,Que haya un cambio de partido en el gobierno,MORENA
30_174,Que siga gobernando MORENA,MORENA
4_2,No sabe / No respondió,PT- Partido del Trabajo
20_415,Que siga gobernando MORENA,MORENA
9_5,Que siga gobernando MORENA,PT- Partido del Trabajo
30_46,Que haya un cambio de partido en el gobierno,MORENA
31_8,Que siga gobernando MORENA,MORENA
9_6,Que haya un cambio de partido en el gobierno,PAN - Partido Acción Nacional
26_59,Que siga gobernando MORENA,MORENA
20_415,Que haya un cambio de partido en el gobierno,PAN - Partido Acción Nacional
9_8,No sabe / No respondió,PRD - Partido de la Revolución Democrática
12_3,Que haya un cambio de partido en el gobierno,Ninguno
12_3,Que siga gobernando MORENA,MORENA
15_60,Que haya un cambio de partido en el gobierno,MC - Movimiento Ciudadano
9_8,Que siga gobernando MORENA,MORENA
30_174,Que siga gobernando MORENA,MORENA
30_82,Que siga gobernando MORENA,PRD - Partido de la Revolución Democrática
