percepcion,ideologia,KEY
aprueba algo,PRI mucho,20_44
desaprueba mucho,PAN poco,20_184
aprueba algo,PAN poco,20_468
desaprueba algo,Ninguno ,20_166
desaprueba algo,Ninguno ,20_184
neutro,PRI poco ,20_417
aprueba algo,PRI mucho,20_184
neutro,Ninguno ,20_166
aprueba algo,PAN poco,20_468
aprueba algo,Ninguno ,20_166
desaprueba algo,Ninguno ,20_278
desaprueba algo,PRI mucho,20_184
aprueba algo,PAN poco,20_44
desaprueba mucho,PRI mucho,20_44
aprueba mucho,PRI mucho,20_2
aprueba algo,PAN mucho,20_44
aprueba mucho,PRI mucho,20_44
neutro,Ninguno ,20_166
neutro,PH mucho,20_44
aprueba algo,PRI mucho,20_278
aprueba algo,PRI mucho,20_184
neutro,PRI mucho,20_184
neutro,PRI mucho,20_184
desaprueba mucho,PRI mucho,20_184
aprueba algo,PRI mucho,20_2
neutro,PRI mucho,20_184
aprueba algo,PRI mucho,20_184
aprueba mucho,PRI mucho,20_44
desaprueba algo,PRD mucho,20_44
desaprueba mucho,PRI poco ,20_184
aprueba algo,PRI mucho,20_184
neutro,PRI poco ,20_2
desaprueba algo,PRI mucho,20_417
aprueba algo,PRI mucho,20_184
aprueba algo,Ns/Nc,20_44
neutro,PRI mucho,20_468
aprueba mucho,PRI mucho,20_278
aprueba mucho,PRI mucho,20_44
desaprueba mucho,PRI mucho,20_2
desaprueba mucho,PAN mucho,20_468
desaprueba mucho,PRD mucho,20_184
desaprueba algo,PRD mucho,20_184
desaprueba mucho,PRD mucho,20_166
desaprueba algo,PT mucho,20_9
neutro,PRD mucho,20_417
desaprueba algo,Ninguno ,20_184
desaprueba mucho,PRD mucho,20_278
desaprueba mucho,PRD poco,20_9
desaprueba algo,PRD mucho,20_184
aprueba algo,PRD mucho,20_184
desaprueba mucho,PRD mucho,20_2
desaprueba mucho,PRD mucho,20_278
desaprueba mucho,Ns/Nc,20_44
desaprueba mucho,PRD mucho,20_184
desaprueba mucho,Morena mucho,20_21
desaprueba algo,PRD mucho,20_184
desaprueba mucho,PRI poco ,20_184
neutro,PRD mucho,20_278
desaprueba mucho,PRD mucho,20_2
neutro,PRD mucho,20_184
desaprueba algo,Ninguno ,20_278
desaprueba algo,PRD mucho,20_184
desaprueba mucho,PRD mucho,20_278
aprueba algo,PRD poco,20_2
desaprueba mucho,PRD mucho,20_2
desaprueba mucho,PRD poco,20_184
desaprueba mucho,PRD mucho,20_184
neutro,PRI poco ,20_2
desaprueba algo,PRD mucho,20_184
desaprueba algo,PRD mucho,20_2
desaprueba mucho,PT mucho,20_21
neutro,PRI mucho,20_184
desaprueba mucho,PRD mucho,20_2
desaprueba mucho,PRD mucho,20_184
desaprueba mucho,PRD mucho,20_2
desaprueba mucho,PRD mucho,20_21
desaprueba mucho,PRD poco,20_21
desaprueba mucho,PRD mucho,20_9
desaprueba mucho,PRD mucho,20_21
neutro,Ninguno ,20_184
desaprueba algo,PRD mucho,20_184
desaprueba mucho,PRD mucho,20_21
aprueba algo,PRD mucho,20_2
desaprueba algo,PRD poco,20_2
neutro,PRI mucho,20_2
desaprueba mucho,PRD mucho,20_2
desaprueba algo,PRD poco,20_184
desaprueba mucho,PRD poco,20_2
desaprueba mucho,PRD poco,20_2
neutro,PRD poco,20_278
desaprueba algo,PRD mucho,20_184
desaprueba mucho,PRD poco,20_2
desaprueba mucho,PRD mucho,20_2
desaprueba mucho,PT mucho,20_184
desaprueba mucho,PRD poco,20_9
desaprueba mucho,PT mucho,20_9
desaprueba mucho,PRD mucho,20_2
desaprueba mucho,PRD mucho,20_184
desaprueba mucho,PRD mucho,20_468
desaprueba mucho,PES mucho,20_21
desaprueba mucho,PRD mucho,20_2
desaprueba mucho,PRD mucho,20_2
desaprueba mucho,PRI mucho,20_2
desaprueba mucho,Morena poco ,20_2
desaprueba mucho,PRD poco,20_2
desaprueba mucho,PRD mucho,20_2
neutro,PRD poco,20_2
desaprueba mucho,Morena mucho,20_2
neutro,PRI mucho,20_2
desaprueba mucho,PRD mucho,20_184
desaprueba mucho,PRD mucho,20_2
desaprueba mucho,PRD mucho,20_2
desaprueba algo,PRD mucho,20_184
desaprueba algo,PRD mucho,20_278
desaprueba mucho,Ns/Nc,20_278
desaprueba mucho,PRD mucho,20_166
desaprueba algo,PRD mucho,20_44
desaprueba algo,Ninguno ,20_184
desaprueba mucho,Ninguno ,20_278
aprueba algo,PAN poco,20_166
desaprueba algo,PAN mucho,20_278
desaprueba mucho,MC mucho,20_166
aprueba algo,PAN mucho,20_44
desaprueba algo,PRD poco,20_166
desaprueba algo,PRD mucho,20_184
neutro,PRD mucho,20_44
desaprueba mucho,Ninguno ,20_184
aprueba algo,PAN poco,20_166
aprueba algo,PRD mucho,20_44
desaprueba mucho,Ninguno ,20_417
desaprueba algo,Ninguno ,20_278
desaprueba algo,Ninguno ,20_417
desaprueba mucho,PES mucho,20_278
desaprueba algo,PRI mucho,20_184
neutro,PRD mucho,20_166
desaprueba algo,Ninguno ,20_278
desaprueba mucho,PRI mucho,20_278
desaprueba mucho,PRD mucho,20_44
desaprueba algo,PRD mucho,20_278
desaprueba mucho,PRI mucho,20_184
desaprueba algo,PRD mucho,20_166
desaprueba algo,PRD mucho,20_166
desaprueba mucho,PRD mucho,20_278
neutro,PRD poco,20_166
desaprueba mucho,MC mucho,20_166
neutro,PRD poco,20_44
desaprueba mucho,PAN mucho,20_44
desaprueba mucho,PRD poco,20_184
desaprueba mucho,Ninguno ,20_184
desaprueba mucho,PRD poco,20_44
aprueba algo,PRI mucho,20_44
desaprueba mucho,PRD poco,20_184
desaprueba algo,PRD mucho,20_184
neutro,PRI mucho,20_278
neutro,PRD mucho,20_166
desaprueba algo,PRD mucho,20_184
neutro,PRD poco,20_184
desaprueba mucho,PRD mucho,20_184
desaprueba mucho,Ninguno ,20_184
desaprueba mucho,PRD poco,20_184
desaprueba algo,PRD mucho,20_2
desaprueba mucho,PRD mucho,20_2
desaprueba mucho,PRD poco,20_2
N/S,PRD mucho,20_9
neutro,Ninguno ,20_44
desaprueba algo,Ninguno ,20_278
neutro,PRI mucho,20_468
desaprueba algo,Morena poco ,20_2
desaprueba mucho,PAN poco,20_184
desaprueba mucho,Ns/Nc,20_184
desaprueba algo,Ninguno ,20_184
neutro,Ninguno ,20_468
neutro,Ninguno ,20_44
desaprueba mucho,Ninguno ,20_417
neutro,Ninguno ,20_468
desaprueba mucho,Ninguno ,20_278
desaprueba mucho,Ninguno ,20_184
desaprueba algo,Ninguno ,20_278
desaprueba mucho,Ninguno ,20_278
aprueba algo,PRI poco ,20_184
neutro,Ninguno ,20_44
desaprueba mucho,PVEM mucho,20_21
neutro,PVEM mucho,20_21
aprueba algo,PVEM mucho,20_278
desaprueba algo,PVEM mucho,20_184
desaprueba algo,PVEM mucho,20_9
aprueba algo,PVEM mucho,20_184
aprueba mucho,PRI mucho,20_44
desaprueba algo,Ns/Nc,20_44
desaprueba mucho,Ninguno ,20_44
desaprueba algo,PVEM mucho,20_184
desaprueba mucho,PVEM poco,20_44
desaprueba mucho,Ninguno ,20_278
N/S,PRI poco ,20_2
neutro,MC mucho,20_184
N/S,Ns/Nc,20_184
desaprueba algo,PAN poco,20_278
desaprueba mucho,PRD mucho,20_184
aprueba algo,MC poco,20_184
desaprueba mucho,MC poco,20_166
aprueba mucho,MC mucho,20_417
desaprueba mucho,MC mucho,20_166
desaprueba mucho,MC poco,20_166
desaprueba algo,MC mucho,20_166
desaprueba mucho,PNA mucho,20_184
desaprueba algo,PRD poco,20_184
aprueba algo,PRI poco ,20_184
desaprueba mucho,PNA mucho,20_184
aprueba mucho,Ninguno ,20_184
desaprueba algo,PRI mucho,20_468
aprueba mucho,PAN poco,20_184
desaprueba mucho,PNA poco ,20_184
desaprueba mucho,Morena mucho,20_278
desaprueba mucho,Morena mucho,20_184
desaprueba mucho,Morena mucho,20_2
desaprueba mucho,Morena mucho,20_184
desaprueba algo,Morena mucho,20_184
desaprueba mucho,Morena mucho,20_184
desaprueba mucho,Morena poco ,20_417
desaprueba algo,Ninguno ,20_184
desaprueba mucho,Morena mucho,20_184
neutro,Morena mucho,20_184
aprueba mucho,PAN poco,20_184
desaprueba mucho,Ninguno ,20_184
aprueba mucho,PRI mucho,20_44
aprueba mucho,Morena mucho,20_44
aprueba algo,Morena mucho,20_184
desaprueba algo,Ninguno ,20_278
desaprueba mucho,Morena mucho,20_278
desaprueba mucho,Morena poco ,20_44
desaprueba mucho,Morena mucho,20_166
neutro,Morena mucho,20_278
desaprueba mucho,Ninguno ,20_184
desaprueba mucho,Morena poco ,20_184
neutro,PH mucho,20_278
aprueba algo,PAN mucho,20_184
desaprueba mucho,PH poco ,20_184
aprueba mucho,PT poco,20_44
aprueba mucho,PES mucho,20_2
desaprueba algo,PT poco,20_278
aprueba algo,PES mucho,20_44
aprueba mucho,PAN poco,20_468
desaprueba mucho,PES mucho,20_278
desaprueba mucho,PT mucho,20_166
desaprueba mucho,Ninguno ,20_184
desaprueba mucho,Ninguno ,20_278
aprueba algo,Ninguno ,20_184
aprueba algo,Ninguno ,20_184
desaprueba mucho,Ns/Nc,20_184
desaprueba mucho,PRD mucho,20_278
desaprueba mucho,Ninguno ,20_184
desaprueba mucho,Ninguno ,20_184
desaprueba mucho,Morena mucho,20_184
aprueba algo,Ninguno ,20_184
desaprueba mucho,PH poco ,20_278
desaprueba mucho,Ninguno ,20_278
neutro,Ninguno ,20_468
desaprueba algo,Ninguno ,20_184
desaprueba algo,Ninguno ,20_184
desaprueba algo,Ninguno ,20_278
desaprueba algo,PT poco,20_184
desaprueba mucho,Ninguno ,20_417
desaprueba algo,Ninguno ,20_184
desaprueba mucho,Ninguno ,20_184
desaprueba mucho,Ninguno ,20_9
desaprueba algo,Ninguno ,20_184
desaprueba mucho,PRD mucho,20_2
aprueba algo,Ninguno ,20_184
desaprueba mucho,Morena poco ,20_184
desaprueba algo,Ninguno ,20_184
desaprueba algo,PRI poco ,20_184
desaprueba algo,PVEM poco,20_184
neutro,Ninguno ,20_184
desaprueba mucho,Ninguno ,20_184
desaprueba mucho,Ninguno ,20_2
neutro,Ninguno ,20_21
desaprueba mucho,Ninguno ,20_184
desaprueba algo,Ninguno ,20_9
desaprueba algo,Ninguno ,20_184
desaprueba mucho,Ns/Nc,20_2
neutro,Ninguno ,20_184
desaprueba mucho,Ninguno ,20_184
neutro,Ninguno ,20_184
desaprueba mucho,Ninguno ,20_278
desaprueba algo,PT poco,20_184
desaprueba algo,Ninguno ,20_278
desaprueba algo,Ninguno ,20_278
N/S,Ninguno ,20_184
desaprueba mucho,Ninguno ,20_184
desaprueba algo,Ninguno ,20_278
desaprueba mucho,Ninguno ,20_184
neutro,Ninguno ,20_184
desaprueba algo,Ninguno ,20_184
desaprueba algo,Ninguno ,20_278
neutro,PRI mucho,20_184
desaprueba mucho,Ninguno ,20_278
desaprueba algo,Ninguno ,20_184
desaprueba algo,Ns/Nc,20_184
desaprueba mucho,Ninguno ,20_184
neutro,Ninguno ,20_184
desaprueba algo,Ninguno ,20_184
desaprueba mucho,Ninguno ,20_184
desaprueba algo,Ninguno ,20_184
aprueba algo,PVEM poco,20_278
desaprueba algo,Ninguno ,20_184
neutro,Ninguno ,20_2
neutro,Ninguno ,20_184
desaprueba algo,Ninguno ,20_184
desaprueba mucho,Ninguno ,20_184
desaprueba mucho,Ninguno ,20_21
desaprueba mucho,Ninguno ,20_184
desaprueba mucho,Ninguno ,20_184
desaprueba algo,Ninguno ,20_184
neutro,PH mucho,20_184
desaprueba algo,Ninguno ,20_184
desaprueba mucho,PES poco ,20_184
desaprueba algo,Ninguno ,20_184
neutro,Ninguno ,20_278
desaprueba algo,Ninguno ,20_184
desaprueba mucho,Ninguno ,20_184
neutro,Ninguno ,20_184
aprueba mucho,Ns/Nc,20_184
desaprueba algo,Ninguno ,20_278
neutro,Ninguno ,20_184
N/S,Ninguno ,20_184
desaprueba mucho,Ninguno ,20_184
desaprueba mucho,PRI poco ,20_278
desaprueba algo,PT poco,20_184
desaprueba mucho,Ninguno ,20_184
desaprueba mucho,Ninguno ,20_21
desaprueba mucho,Morena mucho,20_21
desaprueba algo,Ninguno ,20_184
desaprueba mucho,Morena poco ,20_184
desaprueba algo,Ninguno ,20_184
desaprueba mucho,PRD mucho,20_468
desaprueba mucho,Ninguno ,20_278
desaprueba algo,PAN poco,20_278
desaprueba mucho,PRD mucho,20_184
desaprueba algo,Ninguno ,20_417
desaprueba mucho,Ninguno ,20_2
desaprueba algo,Ninguno ,20_278
desaprueba algo,Ninguno ,20_184
neutro,Ninguno ,20_184
neutro,Ninguno ,20_278
neutro,Ninguno ,20_278
desaprueba algo,Ninguno ,20_278
desaprueba algo,Ninguno ,20_184
neutro,Ninguno ,20_278
desaprueba mucho,Ninguno ,20_184
desaprueba mucho,PRD mucho,20_417
desaprueba mucho,Ninguno ,20_278
desaprueba mucho,Ninguno ,20_278
desaprueba mucho,Ninguno ,20_184
desaprueba algo,Ninguno ,20_184
neutro,Ninguno ,20_184
desaprueba mucho,Ninguno ,20_417
desaprueba mucho,Ninguno ,20_2
desaprueba algo,Ninguno ,20_184
desaprueba mucho,Ninguno ,20_184
desaprueba mucho,Ninguno ,20_21
desaprueba mucho,Ninguno ,20_2
desaprueba mucho,Ninguno ,20_2
desaprueba mucho,Ninguno ,20_2
desaprueba mucho,PRD mucho,20_21
desaprueba mucho,Ninguno ,20_21
desaprueba mucho,Ninguno ,20_2
desaprueba algo,Ninguno ,20_184
aprueba algo,Ninguno ,20_417
desaprueba mucho,Ninguno ,20_2
desaprueba mucho,Ninguno ,20_184
desaprueba mucho,Ninguno ,20_21
desaprueba mucho,Ninguno ,20_184
desaprueba mucho,Ninguno ,20_468
desaprueba mucho,Morena mucho,20_21
desaprueba mucho,Ninguno ,20_2
desaprueba mucho,Ninguno ,20_184
aprueba algo,PRI poco ,20_2
desaprueba mucho,Ninguno ,20_2
desaprueba mucho,Ninguno ,20_2
desaprueba mucho,Ninguno ,20_184
neutro,Ninguno ,20_417
desaprueba mucho,Ninguno ,20_2
desaprueba mucho,Ninguno ,20_184
desaprueba mucho,Ninguno ,20_2
desaprueba algo,Ninguno ,20_184
desaprueba mucho,PRI mucho,20_2
desaprueba mucho,Ninguno ,20_2
desaprueba mucho,Ninguno ,20_2
desaprueba mucho,Ninguno ,20_184
desaprueba mucho,Ninguno ,20_184
desaprueba algo,Ninguno ,20_417
desaprueba algo,Ninguno ,20_184
neutro,Ninguno ,20_184
desaprueba algo,Ninguno ,20_278
desaprueba mucho,Ninguno ,20_184
desaprueba mucho,Ninguno ,20_184
desaprueba mucho,Ninguno ,20_184
neutro,Ninguno ,20_184
desaprueba mucho,Ninguno ,20_184
desaprueba mucho,Ninguno ,20_184
desaprueba mucho,Ninguno ,20_278
desaprueba mucho,PAN poco,20_278
desaprueba mucho,Ninguno ,20_278
desaprueba mucho,Ninguno ,20_184
desaprueba mucho,Ninguno ,20_278
desaprueba mucho,Ninguno ,20_417
desaprueba mucho,Ninguno ,20_184
desaprueba algo,Ninguno ,20_184
desaprueba mucho,Ninguno ,20_278
desaprueba mucho,Ninguno ,20_278
desaprueba algo,Ninguno ,20_278
desaprueba algo,PT poco,20_184
aprueba algo,Ninguno ,20_184
neutro,Ninguno ,20_184
neutro,Ninguno ,20_184
neutro,Ninguno ,20_184
desaprueba mucho,Ns/Nc,20_184
desaprueba mucho,Ninguno ,20_278
desaprueba mucho,Ninguno ,20_184
neutro,Ninguno ,20_184
N/S,Ns/Nc,20_2
desaprueba mucho,Ninguno ,20_184
desaprueba algo,Ninguno ,20_184
neutro,Ninguno ,20_184
desaprueba algo,Ninguno ,20_184
neutro,Ninguno ,20_184
N/S,Ninguno ,20_184
desaprueba mucho,Ninguno ,20_2
desaprueba algo,Ninguno ,20_184
desaprueba algo,PAN poco,20_184
desaprueba mucho,Ninguno ,20_184
desaprueba mucho,Ninguno ,20_184
neutro,Ninguno ,20_184
aprueba algo,PRD mucho,20_44
aprueba algo,Ns/Nc,20_44
aprueba mucho,PRI mucho,20_278
desaprueba mucho,Ninguno ,20_44
aprueba algo,Ninguno ,20_278
desaprueba algo,Ninguno ,20_166
aprueba mucho,PRI mucho,20_44
desaprueba algo,Ninguno ,20_44
