date,year,month,day,NOM_ENT,NOM_MUN,KEY,newspaper,keyword,text
2024-05-03,2024,5,3,SINALOA,CULIACAN,25_6,www.miciudad.mx,Morena,juan de dios gamez mendivil candidato de morena la alcaldia de culiacan se reunio con estudiantes de la universidad autonoma de durango campus culiacan con el proposito de intercambiar ideas escuchar de viva voz sus necesidades mas apremiantes fin de fortalecer la agenda de compromisos favor de la juventud queremos que conozcan las propuestas que tenemos para transformar culiacan el proyecto al que aspiramos como ciudad sociedad culiacanense donde la juventud esta considerada partiendo de una logica de entender cuales son sus necesidades problematicas con base ello aterrizar politicas publicas manifesto el abanderado de morena durante el encuentro gamez mendivil presento algunas de sus propuestas de campana dirigidas ofrecer oportunidades de desarrollo integral para los jovenes entre ellas destaco el programa de jovenes emprendedores del bienestar que establecera una bolsa de recursos para apoyar proyectos productivos comerciales mediante esquemas de financiamiento accesibles tambien detallo el avance que se dejo en la construccion de ciclovias que conectaran diferentes centros educativos plazas comerciales espacios publicos asi como tambien la edificacion de la unidad de bienestar animal que ofrecera servicios de cuidado proteccion especies pequenas en situacion de vulnerabilidad ambas iniciativas fueron gratamente escuchadas por los cientos de jovenes presentes pues consideraron que son temas los que nunca se les habia dado una real importancia por parte de las autoridades de gobierno ya que las acciones solo se quedaban en el discurso sin hechos contundentes por otra parte juan de dios gamez detallo su propuesta para la entrega de becas de internet para estudiantes una iniciativa que proporcionara acceso gratuito internet estudiantes de zonas rurales traves de sus telefonos celulares en el ambito deportivo el aspirante la presidencia municipal se comprometio rehabilitar espacios publicos en el municipio incluyendo la construccion de canchas de futbol con pasto sintetico ademas de crear una villa olimpica en el parque culiacan con infraestructura especializada para la practica del deporte adaptado la construccion de una milla olimpica ubica sobre el nacimiento del rio culiacan tras ello estudiantes de la uad participaron para manifestar su preocupacion sobre la problematica de estiaje que prevalece en la region las medidas preventivas para resarcir este escenario asimismo reconocieron al candidato de morena su interes por impulsar el deporte popular para seguir promoviendo una cultura de vida saludable entre la juventud
2024-05-01,2024,5,1,SINALOA,CULIACAN,25_6,www.miciudad.mx,Morena,con el respaldo unanime de los diferentes organismos que integran la alianza de concesionarios del transporte publico urbano suburbano de culiacan el candidato por morena la alcaldia de culiacan juan de dios gamez mendivil abrio el dialogo con el gremio para consolidar ideas propuestas fin de continuar con las obras de pavimentacion que permitan una movilidad segura eficiente de sus unidades ante el desafio que representaba la infraestructura vial obsoleta con un alto rezago de pavimentacion en las rutas de los camiones gamez mendivil compartio con los transportistas que durante su gestion al frente del ayuntamiento se diseno un plan integral de trabajo preventivo que logro impactar de manera positiva el servicio de transporte urbano traves del reencarpetado de las vialidades principales la pavimentacion de calles en la ciudad tengan por seguro que seguiremos trabajando en la materia pues uno de los compromisos que estamos haciendo consiste en pavimentar mil calles durante los proximos tres anos cuando fuimos gobierno en tan solo ano logramos pavimentar calles estamos seguros que con el apoyo de todos ustedes seguiremos transformando culiacan expreso juan de dios gamez el abanderado de morena preciso que aun sin ser una facultad dentro de las competencias del municipio siempre ha tenido la voluntad politica para contribuir un servicio de calidad en el tema del transporte publico pues es una actividad que forma parte del desarrollo economico social de la capital ya que entre mejor sea este servicio mejores condiciones de vida tiene la poblacion avanzamos de manera importante en la atencion vialidades queremos continuar con estos proyectos para tener una movilidad urbana sostenible donde el usuario sea el mas beneficiado con estas medidas resalto gamez mendivil por ser el medio de trasporte que moviliza un gran numero de culiacanenses juan de dios gamez se comprometio con los transportistas que una vez obtenido el triunfo este proximo de junio se continuara con el reordenamiento de movilidad mejora de vialidades senaleticas mesas de movilidad para atender temas con el transporte urbano finalmente el abanderado de morena reitero durante el encuentro con los trasportistas el apoyo al gremio esto traves de la estrategia de acondicionamiento de las calles vialidades que son surcadas por las unidades en las diversas rutas establecidas en la ciudad en voz de su dirigente jose manuel mendivil alvarez los integrantes de la alianza de transporte urbano de culiacan no dudaron en manifestar su total apoyo juan de dios gamez para la presidencia municipal pues coincidieron que es una persona congruente con lo que hace dice ya que no se queda en el discurso son las obras la vista de todos las que demuestran su compromiso ningun alcalde habia pavimentado con concreto hidraulico las calles por donde transita el camion en casi todas las colonias vimos este esfuerzo que llevo cabo cuando estuvo al frente del ayuntamiento es algo que nos ha ayudado mucho para el buen funcionamiento de las unidades sobre todo para ofrecer un mejor servicio concluyo manuel mendivil
2024-05-01,2024,5,1,SINALOA,CULIACAN,25_6,www.miciudad.mx,Morena,todo acueducto esta con juan de dios gamez expresaron los habitantes de la colonia tras sostener un dialogo con el candidato de morena la alcaldia de culiacan en el que anuncio su compromiso de construir dos canchas de futbol con pasto sintetico en este sector ubicado al norte de la ciudad la maestra rosa elena mora lider de la colonia manifesto su respaldo al proyecto de transformacion que encabeza juan de dios gamez por todas las acciones que realizo durante su etapa como alcalde en beneficio del sector entre ellas la pavimentacion de calles reparacion instalacion de luminarias limpieza de parques desazolve del dren orden en el programa de recoleccion de basura le damos las gracias es un honor para nosotros apoyar decirle que un pueblo no olvida estamos con usted sabemos que seguira cumpliendo su palabra expreso durante el encuentro gamez mendivil anuncio su compromiso de transformar la unidad deportiva de la colonia traves de la construccion de una cancha de futbol con pasto sintetico asegurando asi un espacio optimo para la recreacion el deporte este compromiso fue reiterado ante ninos ninas jovenes presentes del equipo de dorados para la rehabilitacion integral de su cancha pero el compromiso mas serio que tenemos es seguir estando cercanos ustedes ahora queremos ir por mas mil calles pavimentadas recoleccion de basura diaria que todos los dias pase son cosas que se pueden hacer se hacen si hay interes de ayudar la gente pronuncio el candidato de morena solicito el voto de confianza de la comunidad para seguir impulsando culiacan con obras servicios publicos de calidad como fue el caso de esta colonia el cual durante mas de anos no habia recibido ningun trabajo de mantenimiento en sus vialidades cuando estuvimos en el ayuntamiento logramos reencarpetar calles pavimentamos tramos de acceso al sector finalmente nombre de la comunidad deportiva el entrenador wilfrido beltran expreso que en los hechos juan de dios gamez ha demostrado ser una persona que cumple por ello podemos confiar ciegamente porque sabemos que va seguir haciendo las cosas bien para culiacan
2024-04-29,2024,4,29,SINALOA,CULIACAN,25_6,www.miciudad.mx,Morena,con la formula ya probada cercania contacto directo con la gente juan de dios gamez mendivil candidato de morena la alcaldia culiacan se presento ante habitantes de la sindicatura de san lorenzo para refrendar su compromiso con la zona rural del municipio en su recorrido por la comunidad de tabala juan de dios gamez detallo sus propuestas para mejorar las condiciones de esta region traves de obras con sentido social aqui en tabala nos toco como autoridad iniciar el drenaje sanitario algunas obras de electrificacion tambien entregamos acciones de vivienda en san lorenzo un pueblo de mas anos que no tenia drenaje ahi quedo esa obra trabajandose expuso el aspirante de morena la presidencia municipal de culiacan se comprometio continuar con la obra de drenaje sanitario que se encuentra pendiente en el otro extremo de la comunidad aqui el compromiso ahorita junto con esta forma de hacer gobierno de cercania con el pueblo es darle continuidad la obra del drenaje esta parte del pueblo cruzar la carretera ampliar la cobertura del servicio resalto gamez mendivil asimismo dijo que se construira la techumbre en la cancha de usos multiples de la sindicatura fin de que sus habitantes tengan un espacio para realizar eventos asambleas encuentros deportivos que promuevan la sana convivencia familiar el esparcimiento social compromisos para la sindicatura de san lorenzo continuidad de la obra de drenaje sanitario acciones de viviendas maquinaria exclusiva para mantenimiento de caminos vecinales pozos de agua potable obras de pavimentacion
2024-04-26,2024,4,26,SINALOA,CULIACAN,25_6,www.miciudad.mx,Morena,el candidato de morena la alcaldia de culiacan juan de dios gamez mendivil avanza paso firme recorriendo todo el municipio estableciendo dialogos con los ciudadanos mismos que en esta ocasion se realizaron en la colonia de marzo en este sector en especifico previamente se pavimentaron ocho calles durante nuestra gestion dijo el aspirante al senalar que aun faltan otras mas por pavimentar es precisamente esto lo que se atendera al regresar nuevamente gobernar el municipio dicho compromiso fue ampliamente aplaudido por los habitantes de la de marzo pues esta es la necesidad mas apremiante para ellos ya que asi se contribuye mejorar considerablemente su calidad de vida ante vecinos de colonias aledanas entre ellas prados del sur emiliano zapata toledo corro margarita providencia juan de dios gamez aprovecho para anunciar que la cancha de futbol del centro de barrio sera rehabilitada en su totalidad para el disfrute de todos como parte de su compromiso de impulsar apoyar el deporte asimismo preciso que se buscara brindar certeza juridica alrededor de familias de la zona para regularizar sus predios el abanderado de morena refrendo que su objetivo es trabajar para continuar con las obras con sentido social que tanto necesita culiacan no solo en la zona urbana tambien en las sindicaturas comunidades mismas que sigue visitando durante su campana la candidata diputada federal por el distrito merary villegas sanchez el candidato diputado local por el distrito rodolfo valenzuela reconocieron la gran labor que ha realizado el candidato se comprometieron tambien hacer sinergia con el para seguir generando bienestar social en culiacan
2024-04-20,2024,4,20,SINALOA,GUASAVE,25_11,www.miciudad.mx,Morena,en mocorito sabemos que enrique inzunza no le hace callo el huarache jessy martinez el plan es votar cinco de cinco por morena imelda inzunza los candidatos al senado por morena imelda castro enrique inzunza formula con un solido liderazgo en las preferencias electorales continuan recorriendo el estado incansablemente la travesia civica del dia concluyo en el pueblo magico de mocorito donde acompanados de jesus jessy martinez manuel guerrero presidente de morena se reunieron con mas de vecinos del municipio previamente junto lupita lopez candidata la presidencia de salvador alvarado recorrieron las calles de la colonia las glorias reforzando casa casa el trabajo territorial en el pueblo magico sostuvieron un encuentro con mas de vecinos anteriormente habian visitado batamote en guasave jessy martinez vecino de mocorito dio la bienvenida los candidatos destacando que el pueblo ha sido protagonista en las luchas sociales de este pais en el logramos vencer al pri ahora debemos estar mas unidos que nunca trabajar para lograr un mejor futuro tenemos buenos gallos con estos candidatos aseguro en mocorito sabemos que enrique inzunza no le hace callo el huarache  imelda castro le reconocemos sus luchas por las causas agricolas  mocorito le gusta apoyar gente que viene de abajo el candidato enrique inzunza en su participacion afirmo el pueblo magico entranable de mocorito esta en mi corazon mocorito fue es un lugar emblematico por sus raices vocaciones culturales cuna de rafael eustalquio buelna gente que ha contribuido con su vocacion democratica los mocoritenses han intervenido en los procesos politicos desde hace dos siglos destaco en la misma tonica hizo referencia al candidato enrique parra es un hombre integro honesto honrado de familia formador de muchos mocoritenses hombre de izquierda congruente mejor candidato no podria tener mocorito sentencio inzunza la candidata de morena al senado de la republica en primera formula imelda castro ya es momento de llamar votar exclamo la tambien senadora convoco los asistentes votar de favor de morena ahondando en esa misma materia imelda castro agrego que el significado del denominado plan es claudia continuidad todo por morena imelda se congratulo por la decision de su partido de reconocer al profesor enrique parra melesio como candidato la alcaldia del pueblo magico en referencia al profesor parra melesio manuel guerrero verdugo presidente del comite ejecutivo estatal de morena presente tambien en la asamblea  ella misma somos de la misma generacion de hombres mujeres de izquierda que siempre hemos estado de este lado de la historia las muestras de apoyo al proyecto politico de morena no se hicieron esperar el senor jesus camacho efusivamente saludo al candidato inzunza comentandole yo desde que empece votar por obrador lo hago por todo morena mas si queremos que las cosas continuen por el camino del bien
2024-04-20,2024,4,20,SINALOA,SALVADOR ALVARADO,25_15,www.miciudad.mx,Morena,en mocorito sabemos que enrique inzunza no le hace callo el huarache jessy martinez el plan es votar cinco de cinco por morena imelda inzunza los candidatos al senado por morena imelda castro enrique inzunza formula con un solido liderazgo en las preferencias electorales continuan recorriendo el estado incansablemente la travesia civica del dia concluyo en el pueblo magico de mocorito donde acompanados de jesus jessy martinez manuel guerrero presidente de morena se reunieron con mas de vecinos del municipio previamente junto lupita lopez candidata la presidencia de salvador alvarado recorrieron las calles de la colonia las glorias reforzando casa casa el trabajo territorial en el pueblo magico sostuvieron un encuentro con mas de vecinos anteriormente habian visitado batamote en guasave jessy martinez vecino de mocorito dio la bienvenida los candidatos destacando que el pueblo ha sido protagonista en las luchas sociales de este pais en el logramos vencer al pri ahora debemos estar mas unidos que nunca trabajar para lograr un mejor futuro tenemos buenos gallos con estos candidatos aseguro en mocorito sabemos que enrique inzunza no le hace callo el huarache  imelda castro le reconocemos sus luchas por las causas agricolas  mocorito le gusta apoyar gente que viene de abajo el candidato enrique inzunza en su participacion afirmo el pueblo magico entranable de mocorito esta en mi corazon mocorito fue es un lugar emblematico por sus raices vocaciones culturales cuna de rafael eustalquio buelna gente que ha contribuido con su vocacion democratica los mocoritenses han intervenido en los procesos politicos desde hace dos siglos destaco en la misma tonica hizo referencia al candidato enrique parra es un hombre integro honesto honrado de familia formador de muchos mocoritenses hombre de izquierda congruente mejor candidato no podria tener mocorito sentencio inzunza la candidata de morena al senado de la republica en primera formula imelda castro ya es momento de llamar votar exclamo la tambien senadora convoco los asistentes votar de favor de morena ahondando en esa misma materia imelda castro agrego que el significado del denominado plan es claudia continuidad todo por morena imelda se congratulo por la decision de su partido de reconocer al profesor enrique parra melesio como candidato la alcaldia del pueblo magico en referencia al profesor parra melesio manuel guerrero verdugo presidente del comite ejecutivo estatal de morena presente tambien en la asamblea  ella misma somos de la misma generacion de hombres mujeres de izquierda que siempre hemos estado de este lado de la historia las muestras de apoyo al proyecto politico de morena no se hicieron esperar el senor jesus camacho efusivamente saludo al candidato inzunza comentandole yo desde que empece votar por obrador lo hago por todo morena mas si queremos que las cosas continuen por el camino del bien
2024-04-20,2024,4,20,SINALOA,MOCORITO,25_13,www.miciudad.mx,Morena,en mocorito sabemos que enrique inzunza no le hace callo el huarache jessy martinez el plan es votar cinco de cinco por morena imelda inzunza los candidatos al senado por morena imelda castro enrique inzunza formula con un solido liderazgo en las preferencias electorales continuan recorriendo el estado incansablemente la travesia civica del dia concluyo en el pueblo magico de mocorito donde acompanados de jesus jessy martinez manuel guerrero presidente de morena se reunieron con mas de vecinos del municipio previamente junto lupita lopez candidata la presidencia de salvador alvarado recorrieron las calles de la colonia las glorias reforzando casa casa el trabajo territorial en el pueblo magico sostuvieron un encuentro con mas de vecinos anteriormente habian visitado batamote en guasave jessy martinez vecino de mocorito dio la bienvenida los candidatos destacando que el pueblo ha sido protagonista en las luchas sociales de este pais en el logramos vencer al pri ahora debemos estar mas unidos que nunca trabajar para lograr un mejor futuro tenemos buenos gallos con estos candidatos aseguro en mocorito sabemos que enrique inzunza no le hace callo el huarache  imelda castro le reconocemos sus luchas por las causas agricolas  mocorito le gusta apoyar gente que viene de abajo el candidato enrique inzunza en su participacion afirmo el pueblo magico entranable de mocorito esta en mi corazon mocorito fue es un lugar emblematico por sus raices vocaciones culturales cuna de rafael eustalquio buelna gente que ha contribuido con su vocacion democratica los mocoritenses han intervenido en los procesos politicos desde hace dos siglos destaco en la misma tonica hizo referencia al candidato enrique parra es un hombre integro honesto honrado de familia formador de muchos mocoritenses hombre de izquierda congruente mejor candidato no podria tener mocorito sentencio inzunza la candidata de morena al senado de la republica en primera formula imelda castro ya es momento de llamar votar exclamo la tambien senadora convoco los asistentes votar de favor de morena ahondando en esa misma materia imelda castro agrego que el significado del denominado plan es claudia continuidad todo por morena imelda se congratulo por la decision de su partido de reconocer al profesor enrique parra melesio como candidato la alcaldia del pueblo magico en referencia al profesor parra melesio manuel guerrero verdugo presidente del comite ejecutivo estatal de morena presente tambien en la asamblea  ella misma somos de la misma generacion de hombres mujeres de izquierda que siempre hemos estado de este lado de la historia las muestras de apoyo al proyecto politico de morena no se hicieron esperar el senor jesus camacho efusivamente saludo al candidato inzunza comentandole yo desde que empece votar por obrador lo hago por todo morena mas si queremos que las cosas continuen por el camino del bien
2024-04-18,2024,4,18,SINALOA,CONCORDIA,25_4,www.miciudad.mx,Morena,garate acusa que el iees solo obedece las ordenes del gobernador de enrique inzunza se ve que no tienen la capacidad legal para poder llevar un tribunal como debe de ser es una institucion que esta politizando el tema controlado por inzunza quien atiende solamente las ordenes del gobernador el candidato acosador al senado de la republica por morena expreso paola garate presidenta del pri en sinaloa esto debido que en fechas pasadas se solicito una opinion al instituto estatal electoral sobre si era posible que los candidatos sindicos procuradores pudieran ir como regidores en la via de representacion proporcional el iees dijo que eso no se podia lo cual el pri en sinaloa impugno la contestacion del instituto ya que hay antecedentes que en otras partes del pais esto es posible garate valenzuela senalo que ademas se acudio la sala regional del tribunal electoral federal donde se les dio la razon se le ordeno al tribunal estatal dictar una nueva sentencia atendiendo las recomendaciones no conforme con que les hayan corregido la plana dicta una nueva sentencia donde dicen que no nada mas los sindicos procuradores si no tambien las presidencias municipales las regidurias pueden ir en la representacion proporcional actuando totalmente en contra de la ley anadio la presidenta del tricolor la lider estatal dijo cabe senalar que esta es una practica comun en todos los estados del pais lo unico que esta haciendo el tribunal es entorpecer el proceso electoral actual esta dandole tarea segun ellos los partidos politicos para traerlos entretenidos ademas emite una narrativa que empieza circular por todos lados en donde habla de este tema tratado de culparnos de ellos nosotros vamos ir nuevamente la sala regional  la sala superior estamos ciertos que nos daran la razon le volveran corregir la plana al tribunal local electoral lo que sera una verguenza para el poder judicial en materia electoral en sinaloa porque no es posible que arbitrariamente esten queriendo legislar les tengan que corregir cada rato todo por ser incompetentes agrego paola garate la presidenta recalco que la misma situacion esta corriendo en todos los partidos la pregunta expresa decia hay temor perder eso tienen que preguntar morena que tambien metio un paquete muy grande en las dos vias todos los demas institutos politicos nosotros estamos ciertos que vamos ganar lo unico que estamos haciendo es proteger politicamente los espacios que les corresponden al pri por otro lado la presidenta paola garate acompanada del dirigente nacional del movimiento territorial erubiel alonso que sostuvieron una reunion de trabajo en la zona sur del estado con los municipios de mazatlan cosala elota san ignacio concordia el rosario escuinapa para seguir fortaleciendo los trabajos de cara al proceso electoral asi como atencion medios de comunicacion
2024-04-18,2024,4,18,SINALOA,COSALA,25_5,www.miciudad.mx,Morena,garate acusa que el iees solo obedece las ordenes del gobernador de enrique inzunza se ve que no tienen la capacidad legal para poder llevar un tribunal como debe de ser es una institucion que esta politizando el tema controlado por inzunza quien atiende solamente las ordenes del gobernador el candidato acosador al senado de la republica por morena expreso paola garate presidenta del pri en sinaloa esto debido que en fechas pasadas se solicito una opinion al instituto estatal electoral sobre si era posible que los candidatos sindicos procuradores pudieran ir como regidores en la via de representacion proporcional el iees dijo que eso no se podia lo cual el pri en sinaloa impugno la contestacion del instituto ya que hay antecedentes que en otras partes del pais esto es posible garate valenzuela senalo que ademas se acudio la sala regional del tribunal electoral federal donde se les dio la razon se le ordeno al tribunal estatal dictar una nueva sentencia atendiendo las recomendaciones no conforme con que les hayan corregido la plana dicta una nueva sentencia donde dicen que no nada mas los sindicos procuradores si no tambien las presidencias municipales las regidurias pueden ir en la representacion proporcional actuando totalmente en contra de la ley anadio la presidenta del tricolor la lider estatal dijo cabe senalar que esta es una practica comun en todos los estados del pais lo unico que esta haciendo el tribunal es entorpecer el proceso electoral actual esta dandole tarea segun ellos los partidos politicos para traerlos entretenidos ademas emite una narrativa que empieza circular por todos lados en donde habla de este tema tratado de culparnos de ellos nosotros vamos ir nuevamente la sala regional  la sala superior estamos ciertos que nos daran la razon le volveran corregir la plana al tribunal local electoral lo que sera una verguenza para el poder judicial en materia electoral en sinaloa porque no es posible que arbitrariamente esten queriendo legislar les tengan que corregir cada rato todo por ser incompetentes agrego paola garate la presidenta recalco que la misma situacion esta corriendo en todos los partidos la pregunta expresa decia hay temor perder eso tienen que preguntar morena que tambien metio un paquete muy grande en las dos vias todos los demas institutos politicos nosotros estamos ciertos que vamos ganar lo unico que estamos haciendo es proteger politicamente los espacios que les corresponden al pri por otro lado la presidenta paola garate acompanada del dirigente nacional del movimiento territorial erubiel alonso que sostuvieron una reunion de trabajo en la zona sur del estado con los municipios de mazatlan cosala elota san ignacio concordia el rosario escuinapa para seguir fortaleciendo los trabajos de cara al proceso electoral asi como atencion medios de comunicacion
