date,year,month,day,NOM_ENT,NOM_MUN,KEY,newspaper,keyword,text
2024-05-05,2024,5,5,QUERETARO,QUERETARO,22_14,6enpunto.mx,Morena,en mi gobierno la calase trabajadora sera escuchada permanentemente con atencion inmediata se acabara con el queretaro donde hay ciudadanos de primera de segunda afirmo chema tapia candidato comun de morena partido verde pt al acudir la asamblea estatal de la confederacion autonoma de trabajadores empleados de mexico catem queretaro encabezada por su dirigente erick osornio yo no sere un alcalde de escritorio sere alcalde de territorio para que tengan garantizado que se les va atender en todas las demandas que vienen expresando sin que hasta el momento les hayan dado los servicios que merecen abundo chema tapia expuso sus principales propuestas que ha venido presentando en estos dias referentes movilidad seguridad que se enlazan en politicas publicas transversales para mejorar la calidad de vida de las los queretanos que viven en colonias que han sido olvidadas por las ultimas tres administraciones abundo que ahi es donde entra la participacion de trabajadores ciudadanas ciudadanos porque uno de los principales ejes de su programa de gobierno es la participacion ciudadana por eso estan espantados por eso la guerra sucia por eso empiezan que no presento su de no les voy hacer caso por eso empiezan con el fonden con los ventiladores cuando todo eso esta aclarado saben por que es porque las encuestas reales de encuestas serias dicen que vamos ganando por mas de dos puntos lo que tenemos que hacer es ratificarlo el de junio asevero tras su participacion chema tapia escucho dialogo con las los trabajadores integrantes de la catem queretaro en temas como movilidad seguridad servicios publicos como recoleccion de basura que se encuentra concesionado particulares un tema relevante como es el agua agrego que por ello en el primer mes solicitara que el agua sea del municipio que la el organismo de agua pase ser facultad de la alcaldia como lo establece el articulo constitucional que se acaben los privilegios de unos cuantos sea considerada como un derecho el agua sea para todos no solamente para unos cuantos unos dicen que no se puede pero claro que se puede porque el articulo constitucional marca que son facultades de los ayuntamientos el manejo tratamiento de las aguas del drenaje va regresar ser de queretaro para que no sea solo negocio de unos cuantos concluyo
2024-05-05,2024,5,5,QUERETARO,EL MARQUES,22_11,6enpunto.mx,Morena,en el marques se ha hecho obra de mala calidad asevero jorge lomeli candidato la presidencia municipal por morena en el dia de la santa cruz afirmo que durante su administracion habra mucha obra publica que favorecera al gremio de la construccion pero principalmente los habitantes de la demarcacion esto durante su caminar por la piedad donde pudo platicar con los habitantes escuchar sus necesidades mas apremiantes dejame decirle todos los amigos de la construccion felicidades primero segundo aqui en el marques vamos hacer mucho trabajo de construccion falta mucha infraestructura el marques tiene mucho dinero pero se ha hecho obra de mala calidad les mando un abrazo carinoso todos que dios los siga bendiciendo gracias por su esfuerzo vienen recompensas grandes con morena en el marques jorge lomeli apunto la necesidad de construir espacios deportivos recreativos asi como centros de salud al considerar como una falta de respeto de honestidad al destino de la infancia juventud que no han podido gozar de espacios de ese tipo como otros municipios que cuentan con menores recursos que el marques con respecto la infraestructura hidrica area en la que es especialista senalo que es un tema muy grave que se vive en todo el estado con una sequia que se ha mantenido en los ultimos tres anos que esta situacion se ha agravado debido la falta de politicas publicas de vision por parte de los gobernantes no hemos captado el agua que la naturaleza nos regala ano con ano dejamos que escurra se genera un problema en aguas abajo entonces vamos detenerla en lugares medios aguas arriba vamos hacer borderias vamos crear estimulos para todas las industrias que hoy estan vigentes que deben ser mas de hectareas en techumbres que es donde puedes captar el agua de lluvia darles estimulos para que ellos utilicen el agua entonces necesitamos captarla para esta epoca recordo que el marques cuenta con la cuenca lechera mas grande del estado que aunque los ganaderos se han mantenido ajenos independientes de los gobiernos requieren del apoyo en preparacion capacitacion en cuanto la tecnificacion obtencion de recursos federales el gobierno federal lo tiene nosotros tenemos recursos vamos ponernos de acuerdo para que les vaya bien podamos seguir consumiendo leche sus productos derivados reconocio que la inversion para el tratamiento del agua es alto pero que es mas caro no tener agua para el campo para el ganado principalmente para los habitantes por lo que es necesario llevar cabo un plan hidrico que favorezca el almacenamiento del liquido para el punteo de las siembras mientras llega la temporada de lluvias
2024-05-05,2024,5,5,QUERETARO,CORREGIDORA,22_6,6enpunto.mx,Morena,la candidata la presidencia municipal de corregidora abanderada por el partido movimiento de regeneracion nacional morena mireya fernandez acudio este domingo de mayo la comunidad de charco blanco en corregidora donde se comprometio generar las condiciones para que las los ninos tengan una infancia de bienestar en el marco del dia del nino donde con motivo de la celebracion entrego juguetes las los pequenos para celebrarlos enfatizo la importancia de una infancia integral para las los ninos de corregidora en la reunion vecinal que se realizo alrededor de las de la manana en las inmediaciones de la primaria justo sierra hablo la ciudadania sobre la importancia de contar con gobiernos que atiendan escuchen los ciudadanos ustedes contratan los presidentes municipales  todos los funcionarios funcionarias con su voto ustedes nos contratan ustedes con sus impuestos les pagan entonces quienes son los patrones los ciudadanos ciudadanas no destaco mireya fernandez la candidata morenista propuso la comunidad el realizar en menos de dias los tramites para apertura de negocios si en ese tiempo no se les brinda una respuesta de parte del municipio seria un si en automatico lo que es conocido como la afirmativa ficta ademas dijo que para estos tramites ya no se pediria el cambio de uso de suelo cada ano pues considero que eso es un robo la ciudadania mireya fernandez indico que en su gobierno las comunidades van ser primero por lo que se empezara atendiendo la parte mas olvidada del municipio pues afirmo que corregidora cuenta con un presupuesto muy grande tenemos uno de los tres presupuestos mas altos de todo el estado entonces ustedes creen que no alcanzan mil millones de pesos al ano para todo corregidora claro alzanza sostuvo dijo que lo que pasa es que no regresan los impuestos los ciudadanos tenemos que hacer un ejercito de ciudadanos ciudadanas que hagamos el cambio esta en nosotros tenemos los gobernantes que nosotros elegimos
2024-05-01,2024,5,1,QUERETARO,PEDRO ESCOBEDO,22_12,6enpunto.mx,Morena,la dirigencia estatal del partido accion nacional en queretaro denuncio una serie de agresiones registradas contra candidatos simpatizantes de las campanas en los municipios de san juan del rio pedro escobedo cadereyta donde se expreso un rechazo absoluto los actos de violencia intimidacion ejercidos por personas ligadas morena un respaldo total las acciones legales que los candidatos decidan iniciar en rueda de prensa acompanada por titulares de los comites municipales asi como las los candidatos presidencias municipales cargos federales la presidenta de accion nacional en queretaro leonor mejia detallo que el incidente mas reciente se registro la madrugada de este miercoles cuando dos personas incendiaron dos vehiculos de perifoneo que apoyaban la campana de roberto carlos cabrera para la alcaldia de san juan del rio asimismo menciono que ademas de agresiones reportadas previamente en cadereyta contra la campana de miguel martinez penalosa la suscitada en la comunidad de ajuchitlancito en contra del equipo de campana de la candidata la presidencia municipal de pedro escobedo meche ponce tovar el mensaje energico que hoy expresamos en accion nacional es de rechazo absoluto la violencia  los actos de intimidacion no se equivoquen senores de morena queretaro no es cuna de violentos como estan acostumbrados en los estados en los que gobierna morena aqui se van topar con pared porque aqui la ley si es la ley advirtio leonor mejia recalco que en queretaro hay gobernabilidad respeto que aqui las familias queretanas rechazan todo acto de violencia la cual senalo como la puerta la ingobernabilidad que representan los gobiernos encabezados por morena en ese mismo sentido se pronuncio el vocero de pan antonio zapata guerrero quien hizo un llamado al respeto durante toda la contienda electoral ademas de hacer un exhorto respetuoso las autoridades electorales para que se tomen las medidas correspondientes vamos unirnos para sacar este proceso electoral en paz en armonia como siempre ha sido la costumbre de las los queretanos que las cobardes practicas de morena no permeen en la paz la tranquilidad de nuestro estado basta ya de la violencia fomentada por morena en queretaro durante este proceso electoral condenamos energicamente los cobardes actos de agresion contra los candidatos de accion nacional dijo zapata guerrero exigio que morena ponga un alto las mentiras  la intimidacion pues son los que verdaderamente generan la violencia no solo en queretaro sino en todo el pais el candidato la presidencia municipal de san juan del rio roberto carlos cabrera dijo que pesar del acto de vandalismo cometido por dos personas en contra de las camionetas de perifoneo accion nacional continuara haciendo su campana como siempre la ha hecho de manera proactiva propositiva clara contundente de altura con mucho respeto tras condenar este hecho afirmo que esto no es lo que quieren los sanjuaneneses agrego que no se permitira que vengan personas sembrar el terror san juan del rio que es una tierra de paz nos une la tranquilidad los valores las buenas costumbres es lo que nos caracteriza incluso cada campana que hemos hecho estos valores estas buenas costumbres han sido siempre nuestra causa que lo escuchen fuerte claro quienes quieren romper nuestra paz los va detener la ciudadania son con quienes se van topar de frente manifesto sobre los actos de violencia perpetrados por mujeres simpatizantes de morena en ajuchitlancito la candidata de accion nacional la presidencia municipal de pedro escobedo meche ponce reitero su compromiso con la poblacion de pedir una campana de propuestas en un municipio libre de elegir transitar de pensar lastiman todas las mujeres lastiman pedro escobedo porque mi nadie me asegura que alla afuera estos mismos hombres esten agrediendo gritando ofendiendo golpeando otras mujeres eso es justamente lo que no debemos tolerar que tengan ustedes la certeza de que no vamos caer en ninguna provocacion senalo en su oportunidad miguel martinez penaloza candidato del pan la presidencia municipal de cadereyta recordo que el pasado de abril se registraron agresiones fisicas contra el equipo que lo acompanaba ademas de danos contra vehiculos lo que habla de que no son hechos aislados el candidato se sumo al compromiso de seguir cuidando de su municipio del estado pues afirmo que en queretaro vivimos en un estado de paz de tranquilidad por eso hacemos una invitacion todas las candidatas candidatos de los partidos politicos actuar con mucha responsabilidad con mucho respeto  buscar la unidad del pueblo de queretaro que tanto hemos tenido que seguira prevaleciendo por eso este equipo que ven ustedes de enfrente vamos ganar concluyo
2024-05-01,2024,5,1,QUERETARO,QUERETARO,22_14,6enpunto.mx,Morena,la dirigencia estatal del partido accion nacional en queretaro denuncio una serie de agresiones registradas contra candidatos simpatizantes de las campanas en los municipios de san juan del rio pedro escobedo cadereyta donde se expreso un rechazo absoluto los actos de violencia intimidacion ejercidos por personas ligadas morena un respaldo total las acciones legales que los candidatos decidan iniciar en rueda de prensa acompanada por titulares de los comites municipales asi como las los candidatos presidencias municipales cargos federales la presidenta de accion nacional en queretaro leonor mejia detallo que el incidente mas reciente se registro la madrugada de este miercoles cuando dos personas incendiaron dos vehiculos de perifoneo que apoyaban la campana de roberto carlos cabrera para la alcaldia de san juan del rio asimismo menciono que ademas de agresiones reportadas previamente en cadereyta contra la campana de miguel martinez penalosa la suscitada en la comunidad de ajuchitlancito en contra del equipo de campana de la candidata la presidencia municipal de pedro escobedo meche ponce tovar el mensaje energico que hoy expresamos en accion nacional es de rechazo absoluto la violencia  los actos de intimidacion no se equivoquen senores de morena queretaro no es cuna de violentos como estan acostumbrados en los estados en los que gobierna morena aqui se van topar con pared porque aqui la ley si es la ley advirtio leonor mejia recalco que en queretaro hay gobernabilidad respeto que aqui las familias queretanas rechazan todo acto de violencia la cual senalo como la puerta la ingobernabilidad que representan los gobiernos encabezados por morena en ese mismo sentido se pronuncio el vocero de pan antonio zapata guerrero quien hizo un llamado al respeto durante toda la contienda electoral ademas de hacer un exhorto respetuoso las autoridades electorales para que se tomen las medidas correspondientes vamos unirnos para sacar este proceso electoral en paz en armonia como siempre ha sido la costumbre de las los queretanos que las cobardes practicas de morena no permeen en la paz la tranquilidad de nuestro estado basta ya de la violencia fomentada por morena en queretaro durante este proceso electoral condenamos energicamente los cobardes actos de agresion contra los candidatos de accion nacional dijo zapata guerrero exigio que morena ponga un alto las mentiras  la intimidacion pues son los que verdaderamente generan la violencia no solo en queretaro sino en todo el pais el candidato la presidencia municipal de san juan del rio roberto carlos cabrera dijo que pesar del acto de vandalismo cometido por dos personas en contra de las camionetas de perifoneo accion nacional continuara haciendo su campana como siempre la ha hecho de manera proactiva propositiva clara contundente de altura con mucho respeto tras condenar este hecho afirmo que esto no es lo que quieren los sanjuaneneses agrego que no se permitira que vengan personas sembrar el terror san juan del rio que es una tierra de paz nos une la tranquilidad los valores las buenas costumbres es lo que nos caracteriza incluso cada campana que hemos hecho estos valores estas buenas costumbres han sido siempre nuestra causa que lo escuchen fuerte claro quienes quieren romper nuestra paz los va detener la ciudadania son con quienes se van topar de frente manifesto sobre los actos de violencia perpetrados por mujeres simpatizantes de morena en ajuchitlancito la candidata de accion nacional la presidencia municipal de pedro escobedo meche ponce reitero su compromiso con la poblacion de pedir una campana de propuestas en un municipio libre de elegir transitar de pensar lastiman todas las mujeres lastiman pedro escobedo porque mi nadie me asegura que alla afuera estos mismos hombres esten agrediendo gritando ofendiendo golpeando otras mujeres eso es justamente lo que no debemos tolerar que tengan ustedes la certeza de que no vamos caer en ninguna provocacion senalo en su oportunidad miguel martinez penaloza candidato del pan la presidencia municipal de cadereyta recordo que el pasado de abril se registraron agresiones fisicas contra el equipo que lo acompanaba ademas de danos contra vehiculos lo que habla de que no son hechos aislados el candidato se sumo al compromiso de seguir cuidando de su municipio del estado pues afirmo que en queretaro vivimos en un estado de paz de tranquilidad por eso hacemos una invitacion todas las candidatas candidatos de los partidos politicos actuar con mucha responsabilidad con mucho respeto  buscar la unidad del pueblo de queretaro que tanto hemos tenido que seguira prevaleciendo por eso este equipo que ven ustedes de enfrente vamos ganar concluyo
2024-05-01,2024,5,1,QUERETARO,SAN JUAN DEL RIO,22_16,6enpunto.mx,Morena,la dirigencia estatal del partido accion nacional en queretaro denuncio una serie de agresiones registradas contra candidatos simpatizantes de las campanas en los municipios de san juan del rio pedro escobedo cadereyta donde se expreso un rechazo absoluto los actos de violencia intimidacion ejercidos por personas ligadas morena un respaldo total las acciones legales que los candidatos decidan iniciar en rueda de prensa acompanada por titulares de los comites municipales asi como las los candidatos presidencias municipales cargos federales la presidenta de accion nacional en queretaro leonor mejia detallo que el incidente mas reciente se registro la madrugada de este miercoles cuando dos personas incendiaron dos vehiculos de perifoneo que apoyaban la campana de roberto carlos cabrera para la alcaldia de san juan del rio asimismo menciono que ademas de agresiones reportadas previamente en cadereyta contra la campana de miguel martinez penalosa la suscitada en la comunidad de ajuchitlancito en contra del equipo de campana de la candidata la presidencia municipal de pedro escobedo meche ponce tovar el mensaje energico que hoy expresamos en accion nacional es de rechazo absoluto la violencia  los actos de intimidacion no se equivoquen senores de morena queretaro no es cuna de violentos como estan acostumbrados en los estados en los que gobierna morena aqui se van topar con pared porque aqui la ley si es la ley advirtio leonor mejia recalco que en queretaro hay gobernabilidad respeto que aqui las familias queretanas rechazan todo acto de violencia la cual senalo como la puerta la ingobernabilidad que representan los gobiernos encabezados por morena en ese mismo sentido se pronuncio el vocero de pan antonio zapata guerrero quien hizo un llamado al respeto durante toda la contienda electoral ademas de hacer un exhorto respetuoso las autoridades electorales para que se tomen las medidas correspondientes vamos unirnos para sacar este proceso electoral en paz en armonia como siempre ha sido la costumbre de las los queretanos que las cobardes practicas de morena no permeen en la paz la tranquilidad de nuestro estado basta ya de la violencia fomentada por morena en queretaro durante este proceso electoral condenamos energicamente los cobardes actos de agresion contra los candidatos de accion nacional dijo zapata guerrero exigio que morena ponga un alto las mentiras  la intimidacion pues son los que verdaderamente generan la violencia no solo en queretaro sino en todo el pais el candidato la presidencia municipal de san juan del rio roberto carlos cabrera dijo que pesar del acto de vandalismo cometido por dos personas en contra de las camionetas de perifoneo accion nacional continuara haciendo su campana como siempre la ha hecho de manera proactiva propositiva clara contundente de altura con mucho respeto tras condenar este hecho afirmo que esto no es lo que quieren los sanjuaneneses agrego que no se permitira que vengan personas sembrar el terror san juan del rio que es una tierra de paz nos une la tranquilidad los valores las buenas costumbres es lo que nos caracteriza incluso cada campana que hemos hecho estos valores estas buenas costumbres han sido siempre nuestra causa que lo escuchen fuerte claro quienes quieren romper nuestra paz los va detener la ciudadania son con quienes se van topar de frente manifesto sobre los actos de violencia perpetrados por mujeres simpatizantes de morena en ajuchitlancito la candidata de accion nacional la presidencia municipal de pedro escobedo meche ponce reitero su compromiso con la poblacion de pedir una campana de propuestas en un municipio libre de elegir transitar de pensar lastiman todas las mujeres lastiman pedro escobedo porque mi nadie me asegura que alla afuera estos mismos hombres esten agrediendo gritando ofendiendo golpeando otras mujeres eso es justamente lo que no debemos tolerar que tengan ustedes la certeza de que no vamos caer en ninguna provocacion senalo en su oportunidad miguel martinez penaloza candidato del pan la presidencia municipal de cadereyta recordo que el pasado de abril se registraron agresiones fisicas contra el equipo que lo acompanaba ademas de danos contra vehiculos lo que habla de que no son hechos aislados el candidato se sumo al compromiso de seguir cuidando de su municipio del estado pues afirmo que en queretaro vivimos en un estado de paz de tranquilidad por eso hacemos una invitacion todas las candidatas candidatos de los partidos politicos actuar con mucha responsabilidad con mucho respeto  buscar la unidad del pueblo de queretaro que tanto hemos tenido que seguira prevaleciendo por eso este equipo que ven ustedes de enfrente vamos ganar concluyo
2024-04-30,2024,4,30,QUERETARO,QUERETARO,22_14,6enpunto.mx,Morena,con la finalidad de involucrar la comunidad de la universidad anahuac con el proceso electoral se realizo el foro vota en sus instalaciones donde los jovenes pudieron escuchar las propuestas de los candidatos de morena las alcaldias de queretaro corregidora el marques ademas de las candidatas las diputaciones locales por los distritos  viii en este ejercicio democratico en el que cada orador tuvo ocho minutos para exponer sus propuestas despues cinco minutos mas para responder una dos preguntas del auditorio el candidato por el marques jorge lomeli explico la importancia del cuidado del agua ya que queretaro se esta quedando sin agua queretaro se esta quedando sin agua mi especialidad es la hidraulica nos vamos quedar sin agua faltan seis anos porque el acueducto ii donde yo participe se inaugura en con una proyeccion de anos es decir para el ano este proyecto tendria que haber terminado su vida util desafortunadamente le quedan seis anos explico que ya se ha agotado la cuenca de queretaro la lerma chapala que queretaro es un parte aguas continental ya que parte del agua que escurre en la entidad parte de ella va hacia el oceano pacifico otra parte se va hacia el golfo de mexico que actualmente se trae el liquido de la cuenca del panuco si nosotros estamos extrayendo de alla litros por segundo lo que significa con todos los pozos que tenemos aqui las fuentes de abastecimiento queretaro consume litros por segundo ya no da mas si nosotros no tenemos el cuidado suficiente de hacer las cosas bien dejenme decirles que queretaro va colapsar jorge lomeli expuso que pesar de que el marques cuenta con un presupuesto superior al de la capital en proporcion con su poblacion no cuenta con la infraestructura de la capital queretana que esto ha sido por falta de politicas publicas que favorezcan el bienestar de las los marquesinos para cambiar el marques se requieren dos cosas conocimiento voluntad ademas del recurso humano el dinero esta necesitamos cambiar la vida de todos comenzando por la seguridad continuando con los jovenes con el apoyo con la gente que menos tiene me interesa mucho que el marques sea relevante lo vamos hacer soy un hombre de experiencia un hombre confiable creanme voy dar lo maximo por ustedes pregunta expresa por parte de una universitaria sobre que hara para el cuidado del agua su uso racional asi como mecanismos de dotacion del liquido en la demarcacion lomeli noriega expuso que el estado esta considerado como semidesertico debido la cantidad de agua promedio que cae que es de milimetros aunque los ultimos anos ese promedio ha disminuido tenemos tres anos en sequia si ustedes voltean las presas bordos no hay agua necesitamos un programa muy ambicioso de retencion de agua para evitar primero este tipo de eventos si nosotros desazolvamos las presas nosotros tenemos dos grandes presas hacemos cuerpos de agua vamos evitar inundaciones en la parte de abajo yo voy hacer el programa mas ambicioso en el marques de retencion de agua por ultimo refirio que se estimulara las empresas para que traten el agua asi como los nuevos fraccionamientos pues es imperante tomar las medidas adecuadas para evitar quedarnos sin agua ademas de la reforestacion que plantea realizar en aquellas zonas que lo requieran que en tres anos la idea es poder alcanzar hasta un por ciento de agua tratada
2024-04-30,2024,4,30,QUERETARO,CORREGIDORA,22_6,6enpunto.mx,Morena,con la finalidad de involucrar la comunidad de la universidad anahuac con el proceso electoral se realizo el foro vota en sus instalaciones donde los jovenes pudieron escuchar las propuestas de los candidatos de morena las alcaldias de queretaro corregidora el marques ademas de las candidatas las diputaciones locales por los distritos  viii en este ejercicio democratico en el que cada orador tuvo ocho minutos para exponer sus propuestas despues cinco minutos mas para responder una dos preguntas del auditorio el candidato por el marques jorge lomeli explico la importancia del cuidado del agua ya que queretaro se esta quedando sin agua queretaro se esta quedando sin agua mi especialidad es la hidraulica nos vamos quedar sin agua faltan seis anos porque el acueducto ii donde yo participe se inaugura en con una proyeccion de anos es decir para el ano este proyecto tendria que haber terminado su vida util desafortunadamente le quedan seis anos explico que ya se ha agotado la cuenca de queretaro la lerma chapala que queretaro es un parte aguas continental ya que parte del agua que escurre en la entidad parte de ella va hacia el oceano pacifico otra parte se va hacia el golfo de mexico que actualmente se trae el liquido de la cuenca del panuco si nosotros estamos extrayendo de alla litros por segundo lo que significa con todos los pozos que tenemos aqui las fuentes de abastecimiento queretaro consume litros por segundo ya no da mas si nosotros no tenemos el cuidado suficiente de hacer las cosas bien dejenme decirles que queretaro va colapsar jorge lomeli expuso que pesar de que el marques cuenta con un presupuesto superior al de la capital en proporcion con su poblacion no cuenta con la infraestructura de la capital queretana que esto ha sido por falta de politicas publicas que favorezcan el bienestar de las los marquesinos para cambiar el marques se requieren dos cosas conocimiento voluntad ademas del recurso humano el dinero esta necesitamos cambiar la vida de todos comenzando por la seguridad continuando con los jovenes con el apoyo con la gente que menos tiene me interesa mucho que el marques sea relevante lo vamos hacer soy un hombre de experiencia un hombre confiable creanme voy dar lo maximo por ustedes pregunta expresa por parte de una universitaria sobre que hara para el cuidado del agua su uso racional asi como mecanismos de dotacion del liquido en la demarcacion lomeli noriega expuso que el estado esta considerado como semidesertico debido la cantidad de agua promedio que cae que es de milimetros aunque los ultimos anos ese promedio ha disminuido tenemos tres anos en sequia si ustedes voltean las presas bordos no hay agua necesitamos un programa muy ambicioso de retencion de agua para evitar primero este tipo de eventos si nosotros desazolvamos las presas nosotros tenemos dos grandes presas hacemos cuerpos de agua vamos evitar inundaciones en la parte de abajo yo voy hacer el programa mas ambicioso en el marques de retencion de agua por ultimo refirio que se estimulara las empresas para que traten el agua asi como los nuevos fraccionamientos pues es imperante tomar las medidas adecuadas para evitar quedarnos sin agua ademas de la reforestacion que plantea realizar en aquellas zonas que lo requieran que en tres anos la idea es poder alcanzar hasta un por ciento de agua tratada
2024-04-30,2024,4,30,QUERETARO,EL MARQUES,22_11,6enpunto.mx,Morena,con la finalidad de involucrar la comunidad de la universidad anahuac con el proceso electoral se realizo el foro vota en sus instalaciones donde los jovenes pudieron escuchar las propuestas de los candidatos de morena las alcaldias de queretaro corregidora el marques ademas de las candidatas las diputaciones locales por los distritos  viii en este ejercicio democratico en el que cada orador tuvo ocho minutos para exponer sus propuestas despues cinco minutos mas para responder una dos preguntas del auditorio el candidato por el marques jorge lomeli explico la importancia del cuidado del agua ya que queretaro se esta quedando sin agua queretaro se esta quedando sin agua mi especialidad es la hidraulica nos vamos quedar sin agua faltan seis anos porque el acueducto ii donde yo participe se inaugura en con una proyeccion de anos es decir para el ano este proyecto tendria que haber terminado su vida util desafortunadamente le quedan seis anos explico que ya se ha agotado la cuenca de queretaro la lerma chapala que queretaro es un parte aguas continental ya que parte del agua que escurre en la entidad parte de ella va hacia el oceano pacifico otra parte se va hacia el golfo de mexico que actualmente se trae el liquido de la cuenca del panuco si nosotros estamos extrayendo de alla litros por segundo lo que significa con todos los pozos que tenemos aqui las fuentes de abastecimiento queretaro consume litros por segundo ya no da mas si nosotros no tenemos el cuidado suficiente de hacer las cosas bien dejenme decirles que queretaro va colapsar jorge lomeli expuso que pesar de que el marques cuenta con un presupuesto superior al de la capital en proporcion con su poblacion no cuenta con la infraestructura de la capital queretana que esto ha sido por falta de politicas publicas que favorezcan el bienestar de las los marquesinos para cambiar el marques se requieren dos cosas conocimiento voluntad ademas del recurso humano el dinero esta necesitamos cambiar la vida de todos comenzando por la seguridad continuando con los jovenes con el apoyo con la gente que menos tiene me interesa mucho que el marques sea relevante lo vamos hacer soy un hombre de experiencia un hombre confiable creanme voy dar lo maximo por ustedes pregunta expresa por parte de una universitaria sobre que hara para el cuidado del agua su uso racional asi como mecanismos de dotacion del liquido en la demarcacion lomeli noriega expuso que el estado esta considerado como semidesertico debido la cantidad de agua promedio que cae que es de milimetros aunque los ultimos anos ese promedio ha disminuido tenemos tres anos en sequia si ustedes voltean las presas bordos no hay agua necesitamos un programa muy ambicioso de retencion de agua para evitar primero este tipo de eventos si nosotros desazolvamos las presas nosotros tenemos dos grandes presas hacemos cuerpos de agua vamos evitar inundaciones en la parte de abajo yo voy hacer el programa mas ambicioso en el marques de retencion de agua por ultimo refirio que se estimulara las empresas para que traten el agua asi como los nuevos fraccionamientos pues es imperante tomar las medidas adecuadas para evitar quedarnos sin agua ademas de la reforestacion que plantea realizar en aquellas zonas que lo requieran que en tres anos la idea es poder alcanzar hasta un por ciento de agua tratada
2024-04-28,2024,4,28,QUERETARO,QUERETARO,22_14,6enpunto.mx,Morena,con el objetivo de mejorar el transito vehicular que haya transporte publico en zonas de dificil acceso promover el uso de la bicicleta como medio alternativo el candidato de morena pvem pt chema tapia propone un plan integral de movilidad su planteamiento contempla una infraestructura interconectada rutas directas sin paradas el uso de vehiculos tipo urvan establecer el sistema de transporte alterno ecobici la construccion de ciclovias con apego las normas internacionales realizare un estudio exhaustivo para evaluar la demanda de transporte publico en el municipio determinare la viabilidad de sustituir los camiones urbanos por camionetas tipo urvan esto incluiria analizar la densidad de poblacion las rutas existentes los patrones de viaje de los ciudadanos explico el plan contempla el diseno de un nuevo sistema de rutas directas que cubra de manera eficiente las areas de mayor demanda conecte los puntos clave del municipio como centros comerciales areas residenciales instituciones educativas centros de trabajo el uso de vehiculos tipo urvan sera en colonias zonas de dificil acceso donde la infraestructura vial no permite el acceso un camion por lo angosto de las calles el nivel de inclinacion este servicio para interconectar con la zona urbana sera gratuito se trata de mejorar los tiempos de traslado de los usuarios de transporte publico mediante rutas de un punto otro de forma directa sin paradas el uso de vehiculos tipo urvan para que puedan acceder los distribuidores viales que usen gas para ser amigables con el medio ambiente el uso de la bicicleta como transporte alternativo los automotores abundo en lo que se refiere al sistema ecobici dijo que el objetivo principal es proporcionar una opcion de transporte alternativa sostenible que mejore la movilidad en la ciudad reduciendo la dependencia de los vehiculos motorizados promover la actividad fisica el bienestar de los ciudadanos incentivandolos utilizar la bicicleta como medio de transporte identificare ubicare estrategicamente las estaciones de bicicletas en diferentes puntos de la ciudad como en areas centricas estaciones de transporte publico zonas de alto transito el acceso este tipo de transporte sera traves de la creacion de una plataforma en linea aplicaciones moviles donde los usuarios puedan registrarse obtener una membresia para acceder las bicicletas de forma gratuita puntualizo el complemento para incentivar el uso de la bicicleta sera mediante la construccion de ciclovias que cumplan con los estandares internacionales que ofrezcan seguridad los ciclistas pero tambien los peatones automovilistas realizare un estudio exhaustivo de las ciclovias existentes en el municipio para identificar su estado actual determinare las areas de mejora establecere prioridades de intervencion se repararan superficies senalizacion adecuada iluminacion mantenimiento regular para garantizar condiciones seguras comodas para los ciclistas expuso el plan integral concluyo chema tapia es totalmente viable para hacer de queretaro una ciudad dinamica interconectada sobre todo segura para la movilidad de peatones ciclistas automovilistas
